    um         	nm
   0.000	   0.033
   0.010	   0.056
   0.020	  -0.063
   0.029	   0.030
   0.039	  -0.048
   0.049	  -0.082
   0.059	  -0.031
   0.068	  -0.108
   0.078	  -0.058
   0.088	  -0.049
   0.098	  -0.042
   0.108	   0.010
   0.117	  -0.025
   0.127	   0.025
   0.137	  -0.052
   0.147	   0.042
   0.156	   0.007
   0.166	  -0.028
   0.176	   0.023
   0.186	  -0.053
   0.196	   0.040
   0.205	  -0.011
   0.215	   0.037
   0.225	  -0.040
   0.235	   0.053
   0.244	  -0.024
   0.254	   0.027
   0.264	   0.078
   0.274	   0.043
   0.284	   0.094
   0.293	  -0.025
   0.303	  -0.016
   0.313	  -0.007
   0.323	  -0.042
   0.332	   0.095
   0.342	   0.060
   0.352	   0.024
   0.362	   0.034
   0.372	   0.042
   0.381	   0.049
   0.391	  -0.068
   0.401	  -0.019
   0.411	  -0.096
   0.420	   0.004
   0.430	   0.098
   0.440	  -0.106
   0.450	   0.115
   0.460	  -0.175
   0.469	   0.088
   0.479	  -0.031
   0.489	  -0.022
   0.499	   0.114
   0.508	  -0.091
   0.518	   0.172
   0.528	  -0.073
   0.538	   0.063
   0.547	  -0.014
   0.557	  -0.047
   0.567	   0.088
   0.577	  -0.159
   0.587	   0.147
   0.596	  -0.015
   0.606	   0.037
   0.616	   0.180
   0.626	  -0.123
   0.635	   0.141
   0.645	  -0.148
   0.655	  -0.055
   0.665	  -0.004
   0.675	  -0.081
   0.684	   0.098
   0.694	  -0.022
   0.704	   0.073
   0.714	  -0.005
   0.723	  -0.081
   0.733	   0.182
   0.743	  -0.022
   0.753	   0.072
   0.763	   0.037
   0.772	   0.003
   0.782	   0.139
   0.792	  -0.107
   0.802	   0.028
   0.811	  -0.048
   0.821	  -0.014
   0.831	   0.067
   0.841	  -0.010
   0.851	  -0.001
   0.860	   0.007
   0.870	  -0.026
   0.880	   0.067
   0.890	   0.033
   0.899	  -0.043
   0.909	  -0.077
   0.919	  -0.027
   0.929	   0.067
   0.939	   0.076
   0.948	  -0.002
   0.958	  -0.035
   0.968	  -0.068
   0.978	  -0.018
   0.987	  -0.052
   0.997	   0.084
   1.007	   0.050
   1.017	  -0.027
   1.027	   0.060
   1.036	   0.033
   1.046	   0.042
   1.056	   0.050
   1.066	  -0.026
   1.075	  -0.059
   1.085	  -0.008
   1.095	   0.044
   1.105	   0.095
   1.115	   0.019
   1.124	   0.027
   1.134	   0.036
   1.144	   0.044
   1.154	   0.096
   1.163	   0.061
   1.173	  -0.014
   1.183	  -0.006
   1.193	   0.044
   1.203	   0.053
   1.212	   0.021
   1.222	  -0.057
   1.232	  -0.084
   1.242	   0.022
   1.251	   0.030
   1.261	  -0.003
   1.271	   0.005
   1.281	  -0.028
   1.291	  -0.020
   1.300	  -0.053
   1.310	  -0.044
